epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.564,1.6573,2.58533,1.72643,0.55703,0.44325,0.45461,0.20728,1.87888,1.97492,2.00585,0.00333174,0.00333174,0.00333174
2,984.895,1.6539,2.0222,1.70252,0.5486,0.44524,0.45837,0.21042,1.88833,1.85747,1.96314,0.00659909,0.00659909,0.00659909
3,1449.83,1.70879,2.01735,1.77123,0.56734,0.41991,0.44985,0.20564,1.92084,2.06941,2.00937,0.00980044,0.00980044,0.00980044
4,1907.9,1.71037,1.98186,1.78241,0.58542,0.46681,0.49418,0.23196,1.83948,1.8121,1.93763,0.009703,0.009703,0.009703
5,2367.18,1.65019,1.86757,1.74387,0.58293,0.4872,0.50975,0.24983,1.83128,1.72455,1.91524,0.009604,0.009604,0.009604
6,2825.83,1.61306,1.7896,1.70987,0.64524,0.50672,0.55859,0.27201,1.80687,1.58072,1.87584,0.009505,0.009505,0.009505
7,3282.99,1.59883,1.74677,1.68883,0.65011,0.52026,0.58106,0.28919,1.7639,1.53163,1.82431,0.009406,0.009406,0.009406
8,3740.98,1.56721,1.69383,1.66876,0.65111,0.52514,0.59205,0.30318,1.72945,1.48475,1.78958,0.009307,0.009307,0.009307
9,4198.4,1.55396,1.64862,1.64982,0.65717,0.54808,0.60304,0.30968,1.72293,1.44742,1.78916,0.009208,0.009208,0.009208
10,4656.32,1.53838,1.62331,1.64043,0.65805,0.54675,0.60776,0.31036,1.71462,1.45257,1.78681,0.009109,0.009109,0.009109
11,5112.54,1.52258,1.60025,1.62617,0.64336,0.56285,0.61381,0.31428,1.698,1.41701,1.75076,0.00901,0.00901,0.00901
12,5568.78,1.51625,1.59379,1.62189,0.64994,0.56961,0.62192,0.32197,1.68377,1.41165,1.75838,0.008911,0.008911,0.008911
13,6025.16,1.50172,1.565,1.60546,0.67639,0.57195,0.62787,0.32506,1.68042,1.38407,1.74256,0.008812,0.008812,0.008812
14,6482.11,1.49773,1.54515,1.6002,0.67265,0.57522,0.62917,0.33031,1.66143,1.37054,1.70865,0.008713,0.008713,0.008713
15,6939.29,1.4916,1.52859,1.5931,0.68494,0.58701,0.64084,0.33479,1.66424,1.36122,1.70964,0.008614,0.008614,0.008614
16,7398.05,1.4845,1.51126,1.58867,0.66898,0.58974,0.638,0.33546,1.66125,1.34824,1.71271,0.008515,0.008515,0.008515
17,7855.54,1.47207,1.49381,1.57715,0.68241,0.58443,0.64141,0.33974,1.64703,1.33446,1.69094,0.008416,0.008416,0.008416
18,8313.23,1.46293,1.47538,1.57372,0.68248,0.59061,0.64555,0.3415,1.64726,1.32372,1.69877,0.008317,0.008317,0.008317
19,8772.01,1.46335,1.47678,1.5727,0.68531,0.59422,0.6485,0.34304,1.64315,1.31123,1.69363,0.008218,0.008218,0.008218
20,9229.57,1.45938,1.46308,1.56372,0.69022,0.60051,0.65157,0.34612,1.63563,1.29943,1.68474,0.008119,0.008119,0.008119
21,9688.38,1.44423,1.44282,1.55373,0.69472,0.59754,0.65267,0.34696,1.63643,1.29518,1.68262,0.00802,0.00802,0.00802
22,10146.5,1.44704,1.43853,1.55579,0.69133,0.60396,0.65839,0.34993,1.6278,1.28608,1.67689,0.007921,0.007921,0.007921
23,10602.8,1.44728,1.42907,1.55239,0.68619,0.60893,0.65952,0.35155,1.62699,1.28197,1.67642,0.007822,0.007822,0.007822
24,11060.1,1.43586,1.41447,1.53902,0.69549,0.60282,0.66141,0.35374,1.62608,1.27777,1.67386,0.007723,0.007723,0.007723
25,11508.1,1.43069,1.39919,1.53225,0.69812,0.60413,0.66345,0.35471,1.62569,1.27096,1.66962,0.007624,0.007624,0.007624
26,11844.4,1.43326,1.40323,1.53215,0.69686,0.60727,0.663,0.35498,1.62216,1.2706,1.66737,0.007525,0.007525,0.007525
27,12179,1.42667,1.37923,1.52824,0.69343,0.61025,0.6628,0.35638,1.61969,1.26786,1.66459,0.007426,0.007426,0.007426
28,12514.8,1.42476,1.37362,1.52336,0.70197,0.60845,0.66473,0.35808,1.61881,1.26425,1.66282,0.007327,0.007327,0.007327
29,12852.3,1.41625,1.36252,1.51989,0.70167,0.61082,0.66563,0.35845,1.61689,1.25874,1.66066,0.007228,0.007228,0.007228
30,13186.8,1.41467,1.35635,1.51679,0.70657,0.60915,0.66714,0.35884,1.6152,1.25571,1.65908,0.007129,0.007129,0.007129
31,13521.7,1.40687,1.33935,1.51061,0.6946,0.61826,0.6674,0.36014,1.61333,1.25113,1.65718,0.00703,0.00703,0.00703
32,13856.7,1.40888,1.33652,1.50764,0.69806,0.6169,0.66873,0.36067,1.61223,1.24856,1.65498,0.006931,0.006931,0.006931
33,14192,1.39988,1.32496,1.502,0.70334,0.61439,0.66893,0.36133,1.61173,1.2456,1.6537,0.006832,0.006832,0.006832
34,14528.1,1.40325,1.32375,1.50378,0.6996,0.6159,0.66896,0.3615,1.61173,1.2432,1.65313,0.006733,0.006733,0.006733
35,14862.7,1.39526,1.31191,1.49213,0.69541,0.61866,0.67015,0.36232,1.61169,1.24095,1.6526,0.006634,0.006634,0.006634
36,15197.5,1.38856,1.30374,1.48942,0.69501,0.62108,0.67087,0.36276,1.61111,1.23839,1.65138,0.006535,0.006535,0.006535
37,15533.2,1.38424,1.30163,1.4883,0.69752,0.61967,0.67156,0.36325,1.61038,1.23676,1.65023,0.006436,0.006436,0.006436
38,15867.3,1.38086,1.28645,1.48151,0.69757,0.62065,0.67233,0.36376,1.61019,1.23456,1.6496,0.006337,0.006337,0.006337
39,16203.4,1.38067,1.28078,1.48308,0.70035,0.61891,0.67221,0.36433,1.60938,1.23267,1.6489,0.006238,0.006238,0.006238
40,16538,1.37874,1.2763,1.4774,0.6997,0.61905,0.67256,0.36526,1.60911,1.23044,1.64784,0.006139,0.006139,0.006139
41,16873.2,1.37905,1.26687,1.47307,0.70217,0.61816,0.67371,0.36552,1.60833,1.22843,1.64659,0.00604,0.00604,0.00604
42,17207.7,1.36802,1.2541,1.4677,0.70247,0.61815,0.67345,0.36606,1.60743,1.22696,1.64556,0.005941,0.005941,0.005941
43,17541.6,1.36942,1.25384,1.46961,0.70356,0.61919,0.6744,0.36663,1.60708,1.22448,1.64422,0.005842,0.005842,0.005842
44,17876.4,1.35794,1.24022,1.45824,0.70352,0.61839,0.67505,0.36696,1.60651,1.22218,1.64333,0.005743,0.005743,0.005743
45,18209.6,1.36226,1.24033,1.46076,0.70433,0.6182,0.67587,0.36713,1.60591,1.21956,1.64188,0.005644,0.005644,0.005644
46,18546.2,1.35271,1.22567,1.45229,0.70318,0.61952,0.67648,0.36812,1.606,1.21722,1.64116,0.005545,0.005545,0.005545
47,18880.6,1.35439,1.23298,1.45254,0.70275,0.61984,0.67756,0.36883,1.60529,1.21425,1.64008,0.005446,0.005446,0.005446
48,19216.5,1.35162,1.22247,1.4516,0.70235,0.62012,0.67768,0.3691,1.60465,1.21183,1.63884,0.005347,0.005347,0.005347
49,19551.5,1.34486,1.21762,1.44583,0.70351,0.62041,0.67751,0.3692,1.60463,1.21058,1.63806,0.005248,0.005248,0.005248
50,19884.9,1.34477,1.20689,1.44183,0.7028,0.62057,0.67742,0.3696,1.60371,1.20845,1.6365,0.005149,0.005149,0.005149
51,20218.9,1.3402,1.19633,1.44115,0.70266,0.62213,0.6772,0.36957,1.6027,1.20694,1.6354,0.00505,0.00505,0.00505
52,20555.7,1.33323,1.18789,1.43706,0.70152,0.62364,0.67775,0.37025,1.60225,1.20472,1.63449,0.004951,0.004951,0.004951
53,20891.8,1.32422,1.1806,1.43078,0.70178,0.62551,0.67868,0.37069,1.60118,1.20271,1.63329,0.004852,0.004852,0.004852
54,21226.6,1.33438,1.18068,1.43454,0.70188,0.62582,0.67941,0.37065,1.60004,1.20114,1.63198,0.004753,0.004753,0.004753
55,21561.3,1.32294,1.17525,1.4273,0.70156,0.62856,0.68029,0.37131,1.59984,1.19862,1.63117,0.004654,0.004654,0.004654
56,21896.2,1.32477,1.16589,1.42549,0.70449,0.62547,0.67985,0.3713,1.59938,1.19664,1.63016,0.004555,0.004555,0.004555
57,22230.4,1.31959,1.16175,1.42053,0.70614,0.62648,0.68082,0.37138,1.59833,1.19483,1.6286,0.004456,0.004456,0.004456
58,22564.4,1.31364,1.14804,1.41886,0.71009,0.62621,0.68102,0.37203,1.5971,1.19336,1.62701,0.004357,0.004357,0.004357
59,22899.4,1.31291,1.14583,1.41468,0.70968,0.62685,0.68138,0.37253,1.59605,1.19152,1.62591,0.004258,0.004258,0.004258
60,23233.8,1.30691,1.14216,1.41006,0.71042,0.62685,0.68196,0.37295,1.59533,1.18946,1.62485,0.004159,0.004159,0.004159
61,23569.5,1.30326,1.13456,1.40979,0.70596,0.63005,0.68217,0.37357,1.59492,1.18739,1.62439,0.00406,0.00406,0.00406
62,23903.7,1.30608,1.13145,1.40932,0.70793,0.62782,0.68227,0.37436,1.59386,1.1857,1.62307,0.003961,0.003961,0.003961
